sentence,language
انك تبدو مالوفا,Arabic
Я храбрый.,Russian
ik vind het prima,Dutch
ماذا عن يوم الاثنين بعد الظهر؟,Arabic
Retriever an lò te renmen fedatifis yo chak katriyèm jiyè.,Haitian Creole
Sa cos'ha fatto.,Italian
Wat doe je als de trein vertraging heeft?,Dutch
"Não, eu estou solteiro.",Portugese
তিনি তার জীবনের সবচেয়ে কঠিন পাঠ শিখেছিলেন এবং এটি প্রমাণ করার জন্য শারীরিক ও মানসিক উভয় ধরনের দাগ ছিল।,Bengali
Li te kolore espas fon yon jòn mou.,Haitian Creole
যোৱা শুকুৰবাৰে মই দেখিলোঁ এটা দাগযুক্ত ডাঠ নীলা কৃমিয়ে ভৰিবিহীন টিকটিকি এটাৰ লগত হাত মিলাইছে।,Assamese
Ich kenne ihren Bruder nicht.,German
হাই ষ্ট্ৰীট ক্লাছৰ সৈতে আৱৰ্জনা পেলনীয়া টেমা এটাত বহি আছিল সি।,Assamese
নিজৰ ৰিস্কত সাঁতুৰিব পৰাটো কানছাছ চিটিৰ কলেজীয়া ছাত্ৰ-ছাত্ৰীৰ দলটোৰ বাবে প্ৰত্যাহ্বান হিচাপে লোৱা হৈছিল।,Assamese
Wat heb je gisteren gedaan?,Dutch
Το παιδιά (παιδί) είναι στο σχολείο.,Greek
Frè li wo.,Haitian Creole
Le sue mani erano fredde come il ghiaccio.,Italian
Quando parti?,Italian
وأنا أعلم أن كنت مشغولا حقا.,Arabic
Dust the furniture.  ,English
গভীর সমুদ্রে ডাইভিং অভিযানে সর্বদা দারুচিনি বান আনুন।,Bengali
"Я хочу играть на скрипки. Летом, я читаю о ней.",Russian
আপুনি নিজকে আৰু পৃথিৱীখনক উন্নত কৰাৰ সকলো সম্ভাৱ্য উপায় বিবেচনা কৰাৰ লগে লগে আপুনি লক্ষ্য কৰে যে জন ট্ৰেভল্টাক মোটামুটি অসুখী যেন লাগে।,Assamese
"Dintr-un motiv de neînțeles, echipa de răspuns nu a considerat lipsa de lapte pentru cerealele mele ca o urgență adecvată.",Romanian
"Tối qua, tôi (bị) ốm",Vietnamese
নিস্তব্ধ ঘৰ এটা ভাল লাগে যেতিয়ালৈকে তাত মাহৰ পিছত মাহ থাকিবলৈ নিৰ্দেশ দিয়া নহয়।,Assamese
你什么时候回家？,Mandarin
সঁচা কথাটো হ’ল আপুনি আপোনাৰ জীৱনশৈলীৰ মূল্য ঘণ্টাৰ ভিতৰতে দিব লাগে।,Assamese
Wohin fahren wir morgen?,German
你说什么？,Mandarin
Dèyè fenèt la te gen yon refleksyon ki te sèlman enstile laperèz.,Haitian Creole
ਹਰ ਪ੍ਰਬੰਧਕ ਨੂੰ ਘੱਟੋ-ਘੱਟ ਦਸ ਨਰਸਰੀ ਤੁਕਾਂਤ ਪਿੱਛੇ ਤੋਂ ਸੁਣਾਉਣ ਦੇ ਯੋਗ ਹੋਣਾ ਚਾਹੀਦਾ ਹੈ।,Punjabi
ਲਾਮਾ ਨਿੰਬੂ ਪਾਣੀ ਦੀ ਕੋਸ਼ਿਸ਼ ਕਰਨ ਦਾ ਵਿਰੋਧ ਨਹੀਂ ਕਰ ਸਕਿਆ।,Punjabi
Мы согласны.,Russian
Qu'est-ce que tu as fait hier ?,French
জোৱে আৱিষ্কাৰ কৰিলে যে ট্ৰেফিক কনবোৰে উৎকৃষ্ট মেগাফোন তৈয়াৰ কৰে।,Assamese
Que sapatos legais. Eles são novos?,Portugese
Hij wilde niet in het centrum wonen.,Dutch
ਉਸਦੇ ਬੇਟੇ ਨੇ ਚੁਟਕੀ ਲਈ ਕਿ ਪਾਵਰ ਬਾਰ ਬਾਲਗ ਕੈਂਡੀ ਬਾਰਾਂ ਤੋਂ ਵੱਧ ਕੁਝ ਨਹੀਂ ਸਨ।,Punjabi
"Es ist schade, dass Karin nicht mitkommt.",German
Tu es très sympa,French
Posso chiederti una cosa?,Italian
Je vais le prendre,French
ふるいプリンターのばしょでいいんじゃないですか。,Japanese
My mom was sad.,English
Mi sento male.,Italian
Mamele își petrec lunile din viață așteptându-și copiii.,Romanian
女の学生と男の学生が、アルバイトのきゅうじんこうこくを見ながら話しています。,Japanese
Emmenez-moi au Marriott Hotel,French
An jedem Vollmond,German
Eficiența pe care o avem în eliminarea gunoiului a făcut ca crearea de gunoi să fie mai acceptabilă.,Romanian
"A pornit la o scurtă plimbare, dar acum tot ce putea vedea erau mangrove, iar apa era de kilometri întregi.",Romanian
عندما لم نبدأ في مجابهة مشاكل مالية؟,Arabic
Come here!,English
...il migliore...,Italian
Begrijp je het niet? Vraag het gewoon. Dat is geen probleem.,Dutch
你从哪儿来？,Mandarin
Hoe laat kun je in Maastricht zijn?,Dutch
Non saprei cosa dire.,Italian
Vorrei che lasciasse perdere.,Italian
Wie lange habt ihr studiert?,German
"Я хочу́ костю́м, как твой синий костю́м!",Russian
でも、これ、しんぶんはいたつだよ。できるの？,Japanese
Я лежу.,Russian
"Tandartsen in het centrum van Haarlem waren vol, dus ik veranderde mijn benadering en vond er een in Schalkwijk. Ze zijn goed als ze open op werkdagen tot 20.00 uur en ook in het weekend zijn geopend.",Dutch
Trova qualcosa di meglio da fare!,Italian
η δε αποκριναμενη ειπεν οτι ηλθεν απο της οικιας και δι' ολιγου εκεισε επανεισιν.,Greek
多少,Mandarin
هو يتمنى لو أنه درس بصورة أكبر.,Arabic
Siamo andati a Venezia.,Italian
S'il te plaît appelle-moi,French
我昨天提过这个事,Mandarin
Ki magyar a családjában?,Hungarian
Lei sembra triste.,Italian
Je prendrai la même chose,French
Est-ce que vous avez des chambres de libre ?,French
"Nur weil das Wasser rot ist, heißt das nicht, dass man es nicht trinken kann.",German
"Es ist viel schwieriger, mit einer Bowlingkugel Tennis zu spielen, als mit einem Tennisball zu kegeln.",German
"টার্ট লেমনেড তার তৃষ্ণা নিবারণ করেছিল, কিন্তু তার আকাঙ্ক্ষা নয়।",Bengali
Quale messaggio vuoi inviare a queste persone?,Italian
한국 친구 몇 명 있어요?,Korean
S'il vous plaît emmenez-moi à cette adresse,French
Die äußeren Narben erzählen nur einen Teil der Geschichte.,German
لقم قمتُ بإرفاق ملخص مهنتي وخبرتي.,Arabic
Ti servono le forbici?,Italian
Eu não estou lendo o jornal,Portugese
ਗੈਰੀ ਨੂੰ ਇਹ ਪਤਾ ਲਗਾਉਣ ਵਿੱਚ ਦੇਰ ਨਹੀਂ ਲੱਗੀ ਕਿ ਲੁਟੇਰੇ ਸ਼ੌਕੀਨ ਸਨ।,Punjabi
Non mi sento all'altezza.,Italian
A nagymamám csirkepaprikás finom.,Hungarian
Je voudrais envoyer un fax,French
보통 1시에 점심을 먹어요.,Korean
Vizionarea echipei de softball masculin de geriatrie mi-a adus în minte amintiri despre copii de 3 ani care jucau t-ball.,Romanian
Забудь Тома.,Russian
Die geheime Zutat seines wunderbaren Lebens war Kriminalität.,German
الآثار الجانبية لهذا الدواء هو أنه قد يسبب النعاس.,Arabic
Già finito?,Italian
Это наше.,Russian
আমাদের অল্পবয়সী বাচ্চারা আছে যারা প্রায়ই রাতে আমাদের ঘরে পায়খানার ক্লাউন সহ বিভিন্ন কারণে পায়চারি করে।,Bengali
انها ترك ذلك قريبا؟,Arabic
মা বুঝতে পারলেন না কেন অন্য কেউ জেলো ভরা গরম টব চায় না।,Bengali
Jerry te renmen gade tablo pandan l t ap manje glas lay.,Haitian Creole
"Что, простите?",Russian
"Cafe Het Grote Geluk? Ja, dat ken ik. Dat is daar ergens, in die richting.",Dutch
বিমানে ওড়ার সময় তারা পিয়ানো বাজাচ্ছে।,Bengali
ο ναυκληρος εφοβειτο μη ο χειμων την ναυν διαφθειρη(ι).,Greek
Quand est ton anniversaire ?,French
部屋の奥に置きましょう。,Japanese
ご注意ください。,Japanese
Mwen te vwayaje toupatou nan Lafrik epi mwen poko jwenn gnu ki te vòlè echap mwen an.,Haitian Creole
"Die Effizienz, die wir beim Entfernen von Müll haben, hat die Schaffung von Müll akzeptabler gemacht.",German
Lefèt ke gen yon eskalye nan syèl la ak yon gran wout nan lanfè eksplike lavi byen.,Haitian Creole
Plaj la te gen anpil moun ak leyopa nèj.,Haitian Creole
Mi fa male il piede.,Italian
I want Juan to go to the party.,English
ਉਸ ਦੀ ਬੱਕਰੀ ਨੂੰ ਦੇਖ ਕੇ ਮੇਰਾ ਮਨ ਭੱਜ ਕੇ ਆਪਣੀ ਭਰਜਾਈ ਦੇ ਮੰਜੇ ਹੇਠ ਲੁਕਣ ਲੱਗਾ।,Punjabi
我下午打算跟我的朋友在我家玩儿游戏,Mandarin
喂，你好，请问周明在吗？,Mandarin
Я бы уехал.,Russian
Ea e o fată,Romanian
Wir wollten eben wegfahren.,German
"επειδη ο αυτουργος τους βους εις τον αγρον εισηλασεν, δι' ολιγου αρουν ηρξατο.",Greek
"ਮਗਰਮੱਛ ਨਾਲ ਲੜਨ ਤੋਂ ਬਾਅਦ, ਬ੍ਰਾਇਨ ਨੂੰ ਅਜੇ ਵੀ ਐਨਾਕਾਂਡਾ ਦਾ ਸਾਹਮਣਾ ਕਰਨਾ ਪਿਆ।",Punjabi
C'est là,French
Li te soufle ke pa te gen anyen nan espas eksepte espas tèt li.,Haitian Creole
"Sie rannten um die Ecke und stellten fest, dass sie in der Zeit zurückgereist waren.",German
Che ne dici di una partita a scacchi?,Italian
Я расстроена.,Russian
আকাশ পরিষ্কার; তারাগুলো মিটমিট করছে।,Bengali
"Ga je met het vliegtuig naar Hamburg? Nee, dat is veel te duur.",Dutch
Я споткнулся.,Russian
"Nu hebben we een topmarktaandeel in landen als Nederland, Duitsland, Spanje, Frankrijk, Italië, Polen, Bulgarije, Roemenië en Israël",Dutch
Viele junge Deutsche besuchen New York.,German
এখান থেকে লেক অনেক দূরে।,Bengali
Ar trebui să mănânc niște mere,Romanian
"Pandan ke tout zanmi li yo te pozitif ke Mary te gen yon sans sizyèm, li te konnen li aktyèlman te gen yon sans setyèm.",Haitian Creole
かしら,Japanese
Sai di chi è il bambino?,Italian
Dove mi state portando?,Italian
아직도 몰라요?,Korean
ਉਸਨੇ ਉਸਨੂੰ ਤੁਰੰਤ ਵਾਪਸ ਆਉਣ ਦੀ ਸਲਾਹ ਦਿੱਤੀ।,Punjabi
C'est ma mère,French
Εγώ μαθαίνω ελληνικά.,Greek
Je voudrais faire une promenade,French
你怎么吃了晚饭就睡觉？,Mandarin
Morgens trinken wir immer Kaffee.,German
Pifò atak reken rive sou 10 pye de plaj la depi se kote moun yo ye.,Haitian Creole
মই এটা ৱানচি কিনিব বিচাৰো... কিন্তু জানি থওক যে ই মোৰ লগত খাপ নাখাব।,Assamese
Ik ga op vakantie hoewel Ik weinig geld heb.,Dutch
Mwen kouvri zanmi m 'nan lwil ti bebe.,Haitian Creole
你多大了？,Mandarin
Il sera de retour dans vingt minutes,French
"نعم، هذا مناسب بالنسبة لي.",Arabic
Nou pa konnen kijan li santi li.,Haitian Creole
"Die toten Bäume warteten darauf, vom kleinsten Funken entzündet zu werden und sich zu rächen.",German
"Ich respektiere niemanden, der Pepsi und Cola nicht unterscheiden kann.",German
Am fost foarte ocupat.,Romanian
Patricia renmen son an nan klou fòtman bourade sou tablo a.,Haitian Creole
Mantengono i loro figli.,Italian
আমার ডেন্টিস্ট আমাকে বলেছেন যে ইট চিবানো আপনার দাঁতের জন্য খুব খারাপ।,Bengali
学校里有很多我的朋友,Mandarin
Le miroir est plat.,French
Я сдаюсь.,Russian
你是哪国人?,Mandarin
Это её.,Russian
ਉਹ ਅਜਿਹੀ ਕੁੜੀ ਸੀ ਜੋ ਹਮੇਸ਼ਾ ਇਹ ਦਿਖਾਉਣ ਲਈ ਖੰਡ ਸਾੜਦੀ ਸੀ ਕਿ ਉਹ ਆਪਣੀ ਪਰਵਾਹ ਕਰਦੀ ਹੈ।,Punjabi
Esploriamo le città!,Italian
বাচ্চাদের যে কোনও কিছু খাওয়ানোর কৌশল হল এটিতে ক্যাচআপ দেওয়া।,Bengali
Te diák vagy,Hungarian
οι δουλοι εφοβουντο μη ο δεσποτης σφισιν οργιζηται.,Greek
我在外面办事，晚点儿打（电话）给你,Mandarin
Es el invierno y no tengo chaqueta. Tengo frio.,Spanish
Những người phụ nữ không ăn cơm bằng muỗng.,Vietnamese
صناعة تنافسية,Arabic
Iss dass nicht!,German
ਮੈਂ ਵਾਈਨ ਨਾਲ ਭਰਿਆ ਇੱਕ ਹੋਰ ਸੁੰਦਰ ਬ੍ਰਾਂਡੀ ਗਲਾਸ ਕਦੇ ਨਹੀਂ ਦੇਖਿਆ ਹੈ.,Punjabi
"Me gusta correr, leer, comer, y dormir.",Spanish
انه مدمن على السجائر.,Arabic
"Αυτός αγαπιέται, από τους, γονείς του.",Greek
りょうしんが日本にいる間に京都に連れていきたいです。,Japanese
Posso scattare una foto?,Italian
Carlos is young.,English
"তিনি সৈন্য এবং কাঁধের মধ্যে বিভ্রান্ত হতেন, কিন্তু একজন সামরিক ব্যক্তি হিসাবে তিনি এখন সৈনিকদের দায়িত্ব পালন করছেন।",Bengali
"Er beschloss, sein Verschwinden vorzutäuschen, um dem Gefängnis zu entgehen.",German
Un buon amico.,Italian
Ti piacerebbe venire?,Italian
"Es war die beste Sandburg, die er je gesehen hatte.",German
...da molto tempo,Italian
Je ne parle pas très bien l'anglais,French
الحصول على النفوذ العاطفي.,Arabic
我有点儿头疼。,Mandarin
Yo estudio por aprender.,Spanish
"মেঝেতে তেলের দাগের জন্য, লাউঞ্জে মোটরবাইক পার্কিং করা কিছুই মারবে না।",Bengali
"Ich zähle meine Kalorien, aber ich möchte wirklich ein Dessert.",German
Ces livres sont à vous,French
"Die Menschen befürworten im Allgemeinen Hunde, die Katzenfutter fressen, aber nicht Katzen, die Hundefutter fressen.",German
Puoi prestarmi delle uova?,Italian
Un comme ça,French
Chi lo controlla?,Italian
Zwei Sitze waren frei.,German
قرار العام الجديد,Arabic
Le sue mani erano vuote.,Italian
My friend is tired. She has fatigue/tiredness.,English
Меня любят.,Russian
Подпишите это.,Russian
Ho incontrato un vecchio amico.,Italian
Начни сейчас.,Russian
Σήμερα είναι Τετάρτη.,Greek
"Sì, ma che succede dopo la caduta?",Italian
لدينا مشاعر كل يوم وانه من المهم للتعبير عن أنفسنا بشكل صحيح بحيث لا يحصل الخلط.,Arabic
Devo dare il mio meglio per insegnargli qualcosa.,Italian
ਭਟਕਣ ਵਾਲੇ ਸਾਰੇ ਲੋਕ ਗੁੰਮ ਨਹੀਂ ਹੁੰਦੇ।,Punjabi
Qu'est-ce que tu vas prendre ?,French
"Bâjbâi în întuneric căutând întrerupătorul luminii, dar când în sfârșit l-a găsit, era deja cineva acolo.",Romanian
맥주만 주문했어요.,Korean
শ্বুটাৰে নিজৰ প্ৰেমৰ পৰা বিদায় লয়।,Assamese
পার্কিং লট জুড়ে তাদের যুক্তি শোনা যায়।,Bengali
Te adoro.,Spanish
فقدان الشهية.,Arabic
Bun?,Romanian
きょうだいはいますか。,Japanese
يضم عروضا,Arabic
なるほど。ぼくはふだんいえでしごとをするので、しずかなばしょがいいです。,Japanese
今週はいっぱいですね。来週はあいています。,Japanese
Das Händedesinfektionsmittel war eigentlich durchsichtiger Kleber.,German
"ਉਹ ਕਹਿੰਦੇ ਹਨ ਕਿ ਲੋਕ ਆਪਣੀ ਜ਼ਿੰਦਗੀ ਦੇ ਮਹੱਤਵਪੂਰਣ ਪਲਾਂ ਨੂੰ ਚੰਗੀ ਤਰ੍ਹਾਂ ਯਾਦ ਕਰਦੇ ਹਨ, ਫਿਰ ਵੀ ਕਿਸੇ ਨੂੰ ਆਪਣਾ ਜਨਮ ਵੀ ਯਾਦ ਨਹੀਂ ਹੁੰਦਾ।",Punjabi
Ma come appunto?,Italian
Mit érez?,Hungarian
어제 이거 샀어요. 그렇지만 정말 커요.,Korean
ik voelde me niet goed.,Dutch
পুৰণি আপেলটোৱে নিজৰ কৰ্তৃত্বত আনন্দ কৰে।,Assamese
Il n'est pas là maintenant,French
Mi voglio scusare.,Italian
저 학생 아니에요.,Korean
নিৰ্দেশনা পুস্তিকাত লিখা সতৰ্কবাণীবোৰ মূল্যহীন যিহেতু শহাপহুবোৰে পঢ়িব নোৱাৰে।,Assamese
Ça dépend du temps,French
ما هو اسم تحت,Arabic
Teniamo la cosa fra di noi.,Italian
Il fallimento è la madre del successo.,Italian
Cântă la pian în timp ce zboară în avion.,Romanian
Es-tu arrivé ?,French
Đúng và sai,Vietnamese
모기를 잡을 수 없어서 잠을 잘 수 없어요.,Korean
Haben Sie Herrn Berger gesehen?,German
"عندما وصل هو إلى المقابلة، كان السيد جون قد رحل.",Arabic
I run a lot.,English
I used to do my homework in the afternoon.,English
φοβουμενοι νυκτος εμανιεναι οι αυτουργοι εν τω(ι) αστει εμενον.,Greek
لن يكون سهلاً,Arabic
Happy Day of Love and Friendship.,English
Vostro figlio aveva potuto andare prima di voi.,Italian
Les États-Unis sont un grand pays.,French
মই তোমাক জনাম যে মই পঞ্চাশখনৰো অধিক উপন্যাস লিখিছো,Assamese
Cette voiture ressemble à ma voiture,French
هدئ من روعك,Arabic
أيا كانت.,Arabic
为什么,Mandarin
Joe te dekouvri ke kòn trafik yo fè megafòn ekselan.,Haitian Creole
"Es fiel ihr schwer, sich zu ihrem eigenen verrückten Selbst zu bekennen.",German
"Die Aufregung der Familie, nach Disneyland zu gehen, war verrückter, als sie erwartet hatte.",German
Je ne sais pas,French
Ik geef u een zalf mee.,Dutch
Quand est-ce que c'est arrivé ?,French
ਉਸਦੀ ਆਤਮਾ ਵਿੱਚ ਪਾਗਲਪਨ ਦਾ ਉਹ ਰੰਗ ਸੀ ਜਿਸ ਨੇ ਉਸਨੂੰ ਵਿਸ਼ਵਾਸ ਦਿਵਾਇਆ ਕਿ ਉਹ ਅਸਲ ਵਿੱਚ ਇੱਕ ਫਰਕ ਲਿਆ ਸਕਦੀ ਹੈ।,Punjabi
Mi puoi passare una forchetta?,Italian
"Lucy lo fa dovunque e con chiunque, sempre e comunque.",Italian
Qualsiasi modo mi va bene.,Italian
Combien coûte cela ?,French
Все по местам!,Russian
女の人がびよういんで、びようしにどんなかみがたにしてほしいか、話しています。,Japanese
Eu tenho vinte anos de idade,Portugese
أشكركم على الحضور. وأنا أقدر ذلك.,Arabic
২৫ টাৰ ৮% ৮ টাৰ ২৫% ৰ সৈতে একে আৰু ইয়াৰে এটা মূৰত কৰাটো বহুত সহজ।,Assamese
Le livre est devant la table,French
バターは、あったかな？,Japanese
Успокойся!,Russian
"Als der Mietwagen auf der dunklen Straße zum Stehen kam, wuchs ihre Angst von Moment zu Moment.",German
수박은 사과보다 더 커요.,Korean
لم أسمع أبدا بأيهما.,Arabic
من الاثنين إلى السبت,Arabic
আপনার কখনই এমন কারও কাছ থেকে পরামর্শ নেওয়া উচিত নয় যে মনে করে যে লাল রঙ নীল রঙের চেয়ে দ্রুত শুকিয়ে যায়।,Bengali
О чьих родителях они читают?,Russian
"지금 안 오면, 후회할 거예요.",Korean
îmi plac bananele,Romanian
Cậu bé mang đôi giày của tôi.,Vietnamese
الرجل يعمل في المستشفى,Arabic
Stiamo pensando di chiedere l'indipendenza.,Italian
Ei aruncă varză care îți transformă creierul într-un bagaj emoțional.,Romanian
Peter a găsit că uciderea rutieră este o modalitate excelentă de a economisi bani la cină.,Romanian
Con mèo của tôi muốn trở thành người.,Vietnamese
كم الساعة الان,Arabic
ਅਫਰੀਕੀ ਸੂਰਜ ਡੁੱਬਣ ਦੀ ਸੁੰਦਰਤਾ ਨੇ ਨੇੜੇ ਦੇ ਖ਼ਤਰੇ ਨੂੰ ਲੁਕਾਇਆ.,Punjabi
ふうとうのおもてのみぎうえにあかいシールがはってないか。,Japanese
Je te fais confiance,French
ενομιζε γαρ τους Αθηναιους εις πολεμον κατασταντας τους Πελοποννησιους νικησειν.,Greek
Le sue sono parole contro la repubblica.,Italian
Li te jwe jwèt la tankou si lavi l 'depandan sou li e verite a te ke li te fè.,Haitian Creole
Я храбрая.,Russian
でもそんなにたくさん見る時間がないですから、３まいでいいです。,Japanese
Der Golden Retriever liebte das Feuerwerk jeden 4. Juli.,German
"Mwen te konn viv nan fishpond vwazen mwen an, men estetik la pa t 'nan gou mwen.",Haitian Creole
Che fretta c'è?,Italian
ただ、大きな道路のそばなので、少し音が気になるかもしれません。,Japanese
Một bát canh gà,Vietnamese
C'è della forza nei numeri.,Italian
"তেওঁৰ টকা শেষ হৈ গ’ল, গতিকে তেওঁ পকাৰ খেলা বন্ধ কৰিব লগা হ’ল।",Assamese
Das gefällt mir sehr gut,German
¿Donde está la panadería desde el correo?,Spanish
"Mwen reyèlman vle ale nan travay, men mwen twò malad pou kondwi.",Haitian Creole
Știa că va fi o zi proastă când a văzut leii de munte hoinind pe străzi.,Romanian
Yo do not have to do the homework.,English
Anh ấy giúp đỡ tôi tìm con heo.,Vietnamese
একটি বেগুনি জিরাফ দ্বারা অভিযুক্ত না হওয়া পর্যন্ত সবকিছু ঠিকঠাক চলছিল।,Bengali
いいえ、すみにしましょう。,Japanese
رغم أن,Arabic
Non c'era una nuvola nel cielo.,Italian
Я - твой.,Russian
ক'ৰবাত নিশ্চয় পাঁচ বাজিছে।,Assamese
চৌষষ্ঠি আহে ৰুটি বিচাৰি।,Assamese
Dragostea nu este ca pizza.,Romanian
Elke ochtend kijk ik naar NOS Journaal en leer ik Nederlands.,Dutch
"Hij gaat ook naar peuterspeelzaal op maandag, dinsdag en donderdag",Dutch
ياله من غبي احمق,Arabic
Li nan yon bann ti gason ki pa fè anpil sans pou yon koulèv.,Haitian Creole
Volgens mij kunnen dieren ook verdriet hebben,Dutch
Mi mejor amiga quiere un MacBook para su cumpleaños.,Spanish
Ieri stavi meglio di oggi.,Italian
"وكانت السيدة جونسون كبير المصممين لدينا. وقالت انها كانت خلاقة جدا. كما عملت بسرعة حقا. استغرق آخر مشروع لها فقط لها ثلاثة أيام. وعادة ما يستغرق أسبوع واحد. بصراحة، كانت السيدة جونسون الموظف المثالي.",Arabic
"তিনি শিখেছিলেন যে জলের বোতলগুলি আর কেবল তরল ধরে রাখার জন্য নয়, তারা স্ট্যাটাস সিম্বলও।",Bengali
Ma maison est près de la banque,French
"Trecerea de la copil, la copilăresc, la copilăresc este doar o chestiune de timp.",Romanian
Dat weet ik zeker,Dutch
Cô ấy khuyên tôi nên đọc sách mỗi khi tôi thấy buồn.,Vietnamese
Ich wohne seit einem Jahr in Berlin.,German
Non è né tè né caffè nero.,Italian
Beim ersten Date schlug er versehentlich mit dem Kopf auf den Balken.,German
وقال انه قد سقط بالفعل نائما,Arabic
Συγγνώμη,Greek
"Sie schrieb ihm einen langen Brief, aber er las ihn nicht.",German
Top em Patricia bedankten de makelaar.,Dutch
ঢৌবোৰ পাৰত খুন্দা মাৰি আছিল; এটা মৰমলগা দৃশ্য আছিল।,Assamese
Sei molto carina stasera.,Italian
Pensavo fossi ancora in giro.,Italian
"Er hatte das Gefühl, dass das Essen auf der Brücke Romantik in seine Beziehung zu seiner Katze brachte.",German
"فمن حتى الآن بعيدا عن أي مكان آخر، لذلك هم يفتقرون إلى المعلومات الصلبة.",Arabic
Ea l-a sfătuit să se întoarcă imediat.,Romanian
স্মোকি দ্য বিয়াৰে গোপনে জুই জ্বলাই দিলে।,Assamese
De fiets stond niet in het schuurtje,Dutch
サイズもぴったりですね。,Japanese
Я тебя видел.,Russian
جعل أنفسكم في المنزل.,Arabic
ابصق عليه,Arabic
يكشف هذا الكتاب,Arabic
Li bwè lavi anvan li krache.,Haitian Creole
"Alles lief so gut, bis ich von einer lila Giraffe angesprochen wurde.",German
গিনি চৰাইটোৱে কচ্ছপৰ সকলো কৃপাত বতাহত উৰি যায়।,Assamese
তিনি এমন একজন লোক ছিলেন যিনি জুলাই মাসের মাঝামাঝি সময়ে তার বাড়িতে ক্রিসমাস লাইট পছন্দ করতেন।,Bengali
Est-ce que ton fils est ici ?,French
Non ti posso nemmeno parlare.,Italian
Nu poate mânca,Romanian
Con un buon avvocato siamo tutti onesti.,Italian
Je voudrais une chambre à deux lits s'il vous plaît,French
大家さんに言わなければ、わかりませんよ。,Japanese
ਚੌਰਾਸੀ ਰੋਟੀ ਮੰਗਦੇ ਆ।,Punjabi
"Der schneebedeckte Weg war keine Hilfe, um den Weg aus dem Hinterland zu finden.",German
Ik heb geslapen. We zijn naar de markt geweest. We hebben in een restaurant gegeten en daarna zijn we naar de film gegaan.,Dutch
Μου αρέσει λουκάνικο.,Greek
Réglez ça dehors,French
Eu sou professor.,Portugese
私は悲しい友だちにどうじょうすることにしています。,Japanese
ਇਹ ਇੱਕ ਜਾਪਾਨੀ ਗੁੱਡੀ ਹੈ।,Punjabi
"ড্ৰয়াৰত থকা মোজাবোৰ যি দক্ষতাৰে যোৰ কৰিছিল, সেয়া যথেষ্ট প্ৰশংসনীয় আছিল।",Assamese
Nos enfants sont en Amérique,French
Het weer voor de rest van de dag: in het zuiden zal de zon enkele uren schijnen.,Dutch
Sie wanderten in eine seltsame Tiki-Bar am Rande des kleinen Strandortes.,German
ਹੁਣ ਮੈਨੂੰ ਆਪਣੀ ਹੋਂਦ ਬਾਰੇ ਸੋਚਣ ਅਤੇ ਆਪਣੇ ਆਪ ਤੋਂ ਪੁੱਛਣ ਦੀ ਲੋੜ ਹੈ ਕਿ ਕੀ ਮੈਂ ਸੱਚਮੁੱਚ ਅਸਲੀ ਹਾਂ,Punjabi
Où est-ce que tu l'as appris ?,French
"নিজৰ পথ পোৱাৰ এটা কলা আছে, আৰু টেবুলৰ সিপাৰে জলপানৰ গাঁত থু পেলোৱাটো নহয়নে?",Assamese
È meno chiaro come parole seguano una regola simile.,Italian
A intrat în liniște în muzeu când a început super bowl.,Romanian
Ничего не вышло.,Russian
"Du hast mich den ganzen Tag beobachtet und auf deinen Zug gewartet wie ein Löwe, der eine Gazelle in einer Savanne anpirscht.",German
Plus de deux cents kilomètres,French
لدينا لمعرفة حل لهذا.,Arabic
Давайте спросим.,Russian
Conosco una ragazza il cui padre fa l'avvocato.,Italian
Оставайся здесь.,Russian
日本の会社で働くと思います。,Japanese
Az én házem uj. ,Hungarian
دليل البقاء على قيد الحياة,Arabic
وجدوه فاقدا للوعي ملقاة على الأرض.,Arabic
Văd două pisici sub masă,Romanian
Я в одиночестве.,Russian
배고파요,Korean
اعتقد انه يقوم بعمل جيد حقا.,Arabic
Avètisman ekri nan manyèl enstriksyon yo pa vo anyen paske lapen pa ka li.,Haitian Creole
"Klou wouye a te kanpe dwat, ang nan yon ang 45 degre, jis ap tann pou pye atè pafè a vini ansanm.",Haitian Creole
"ডেভিড এটিকে সুন্দরভাবে ভাঁজ করার জন্য ""ব্যাগে আপনার তাঁবুর জিনিসপত্র"" কৌশলটিতে সদস্যতা নিয়েছে।",Bengali
নাওখনৰ আঁৰৰ ৱেকে অতীতৰ কথা ক’লে আনহাতে মুকলি সাগৰৰ বাবে ক’লে অজ্ঞাত ভৱিষ্যতত জীৱন।,Assamese
"εαν τις τουτου πιη(ι), αποθνη(ι)σκει.",Greek
"Sie fragte sich, was seine Augen unter seiner verspiegelten Sonnenbrille sagten.",German
كان الغليان.,Arabic
Sono felice di sentire la tua voce.,Italian
A che pensi?,Italian
Accederemo al sito dal mio computer.,Italian
Μου αρέσει μήλο.,Greek
Je plaisante,French
Traubengelee lief aus dem Loch im Dach.,German
J'ai encore beaucoup de choses à acheter,French
Chúng tôi thấy những cái đĩa màu cam.,Vietnamese
Die Anakonda war das größte kriminelle Superhirn in diesem Teil der Nachbarschaft.,German
Она пришла.,Russian
Mi fai perdere la pazienza.,Italian
O Brasiz é um país muito grande,Portugese
저는 글을 잘 못 써요.,Korean
Αυτός πήρε την κόρη μαζί του.,Greek
